review_id,review,date,sentiment_category,matched_negative_terms
1,"La hamburguesa de pollo frito estaba muy rica (no me acuerdo de su nombre en la carta) y las patatas que la acompañaban también estaban muy buenas. El sándwich club estaba un poco seco, pero estaba rico.

Pedimos las berenjenas fritas y estaban muy buenas. El servicio fue muy amable y el local estaba bien, aunque tenía música de fondo. No estaba especialmente alta, pero se escuchaba, lo que podría no gustar a todos. Tienen algún plato “curioso” como las albondigas que no tienen mucho de especial. Hay opción de terraza que se agradece. En general muy bien, no es la primera vez que vengo y volveré!",2024-08-01,Positive,"['poder', 'vez', 'pedir']"
3,"Solo tomamos un vermút y una cerveza. El bar mola, cafetería sacada de otra época.  Del estilo Nebraska. Ambiente agradable. El personal atento, buen trato. Vimos pasar hamburguesas con muy buena pinta… volveremos para probarlas.",2024-05-01,Positive,['ver']
7,"Edito la reseña anterior, porque he ido más veces y me ha gustado, pero 9€ por un desayuno con esa cantidad ridícula (ver las fotos), y 6€ por un smoothie, me parece ya pasarse. Si hubiesen sido súper agradables pondría una mejor valoración, pero ni eso.
Creo que hay sitios mejores, no merece la pena.",2024-09-09,Negative,"['si', 'vez', 'ver']"
10,"Era la primera vez que íbamos y nos encantó TODO.
Tanto el local, que tiene un encanto especial, como la comida, que estaba deliciosa, y el personal, súper atento en todo momento, pero sobre todo Adrián que fue quien nos atendió.
Volveremos para probar el resto de la carta.
Enhorabuena!",2023-11-01,Positive,['vez']
14,"Mayo, 2024.-
Nah, muy bien, como siempre. No me canso de ir siempre que me apetece una hamburguesa o un buen sándwich. Además, ahora se está genial en la terraza y los camareros siguen siendo de lo más majo que hay en la zona... 🤗

Las hamburguesas están buenísimas y los postres son caseros. La música de ambiente es maravillosa.
Recomendación: Cheeseburguer (pero con el queso normal en vez de en teja)",2024-05-01,Positive,['vez']
16,"El lugar está ambientado tanto para ir con la pareja, los amigos o la familia, la música buena y la comida tiene un sabor original y propio. La hamburguesa italiana altamemte recomendable y la tarta de limón está que se sale. Encima la atención al público que he visto es de 10, en nuestro caso nos atendió Fernanda y además de atenta supo recomendarnos. Muy contentos con el sitio",2024-08-01,Positive,['ver']
18,"Entramos con el local practicamente vacio.
Según nos sentamos a mirar la carta ya teniamos encima a la camarera, con cara de pocos amigos, preguntando ""que vamos a tomar""
Viene al rato. Molesta si le preguntamos sobre la carta. Toma nota a mi acompañante y pregunta ""si solo va a ser eso"" Nos levantamos y nos fuimos.
No pretendo que me den un servicio especial. Pero para que te traten como si molestaras, prefiero irme a otro sitio. Nadie tiene la culpa de que la camarera tenga un mal día u odie su trabajo",,Negative,['si']
19,"Tenía cierta reticencia a entrar, ya que es una cafetería de los años 60-70 que sigue igual que entonces, pero con camareros mas jóvenes, amables y guapos, que los que había por aquel entonces.
Una vez dentro, he comprobado que efectivamente conserva aquel ambiente en la decoración y mobiliario. El publico, era de familias  y gente joven en general.
Se acabó esa cafetería aburrida de las tardes con un café compartido por parejitas, que ahorraban para comprarse el pisito y los muebles, matrimonios mayores del barrio y señoras amas de casa que alternaban por las tardes con vecinas o amigas y consumían manzanilla, cafés y chocolate con churros.

La comida, abundante, y las hamburguesas eran contundentes y bien preparadas. Aunque la carne se puede mejorar.

Me ha vuelto al pasado estar allí hoy,  y que curioso, me he sentido cómoda, como en casa.",2023-11-01,Neutral,"['poder', 'vez']"
20,"Siguiendo recomendaciones decidí visitar hoy Domingo el lugar.
Lo recomiendo 100%.

•Burrata con puerros
•Hamburguesa italiana (con mozzarella rebozada)
•Aperol Spritz y Pisco Sour preparados por Miguel.

No pudimos hacer mejor mezcla. Todo espectacular.

Atención de 10 por parte del equipo, Luis y Brenda  amables, eficientes y muy profesionales.",2024-01-01,Positive,['poder']
25,"Cafetería emblemática madrileña abierta por los Hermanos Díez en 1962. Cerró y se la quedó el Grupo La Musa, manteniendo su aire años 70 y su carta de cafetería tradicional. Ya había ido en otras ocasiones. Entonces pedimos croquetas y las hamburguesas con pan de cerveza, estupendas.
Ahora (diciembre 2022) cenamos burger 🍔 italiana con mozzarella empanada, carne deliciosa y tomates 🍅 asados con mayo de trufa. También un buenísimo sándwich 🥪 Club con su bacon 🥓, pollo, lechuga 🥬…
Y un sándwich 🥪 de pollo empanado con queso muy original al estar sobre pan blanco sin tostar. Muy amable el servicio y ágil.
Precio: 44€ con bebida, tres personas.",2024-04-01,Positive,['pedir']
